action,operation,operation_price,operation_stop_price,operation_end_type,unix,date,price,base,quote,debt_base,total_quote,gain,run_unix,run_date
LONG,BUY,224.72000122,213.48400116,0,1720193400,2024-07-05 15:30:00,224.72000122,44.49982176,0.0,0.0,10000.0000002,0.0,1720193400,2024-07-05 15:30:00
CLOSE,SELL,226.30999756,-1.0,0,1720209600,2024-07-05 20:00:00,226.30999756,0.0,10070.75455393,0.0,10070.75455393,0.00708,1720209600,2024-07-05 20:00:00
SHORT,SELL,226.30999756,237.62549744,0,1720209600,2024-07-05 20:00:00,226.30999756,0.0,20141.50910786,44.49982176,10070.75455393,0.00708,1720209600,2024-07-05 20:00:00
COVER,BUY,223.66999817,-1.0,0,1720447200,2024-07-08 14:00:00,223.66999817,0.0,10188.234056240002,0.0,10188.23405624,0.01882,1720447200,2024-07-08 14:00:00
LONG,BUY,223.66999817,212.48649826,0,1720447200,2024-07-08 14:00:00,223.66999817,45.55029347,0.0,0.0,10188.23405708,0.01882,1720447200,2024-07-08 14:00:00
CLOSE,SELL,227.80000305,-1.0,0,1720468800,2024-07-08 20:00:00,227.80000305,0.0,10376.35699139,0.0,10376.35699139,0.03764,1720468800,2024-07-08 20:00:00
SHORT,SELL,227.80000305,239.1900032,0,1720468800,2024-07-08 20:00:00,227.80000305,0.0,20752.71398278,45.55029347,10376.35699139,0.03764,1720468800,2024-07-08 20:00:00
COVER,BUY,228.69999695,-1.0,0,1720555200,2024-07-09 20:00:00,228.69999695,0.0,10335.362005119998,0.0,10335.36200512,0.03354,1720555200,2024-07-09 20:00:00
LONG,BUY,228.69999695,217.2649971,0,1720555200,2024-07-09 20:00:00,228.69999695,45.19178899,0.0,0.0,10335.36200418,0.03354,1720555200,2024-07-09 20:00:00
CLOSE,SELL,231.1000061,-1.0,0,1720621800,2024-07-10 14:30:00,231.1000061,0.0,10443.82271126,0.0,10443.82271126,0.04438,1720621800,2024-07-10 14:30:00
SHORT,SELL,231.1000061,242.65500641,0,1720621800,2024-07-10 14:30:00,231.1000061,0.0,20887.64542252,45.19178899,10443.82271126,0.04438,1720621800,2024-07-10 14:30:00
COVER,BUY,226.86000061,-1.0,0,1720713600,2024-07-11 16:00:00,226.86000061,0.0,10635.43614468,0.0,10635.43614468,0.06354,1720713600,2024-07-11 16:00:00
LONG,BUY,226.86000061,215.51700058,0,1720713600,2024-07-11 16:00:00,226.86000061,46.88105491,0.0,0.0,10635.43614548,0.06354,1720713600,2024-07-11 16:00:00
CLOSE,SELL,227.97999573,-1.0,0,1720719000,2024-07-11 17:30:00,227.97999573,0.0,10687.9426982,0.0,10687.9426982,0.06879,1720719000,2024-07-11 17:30:00
SHORT,SELL,227.97999573,239.37899552,0,1720719000,2024-07-11 17:30:00,227.97999573,0.0,21375.8853964,46.88105491,10687.9426982,0.06879,1720719000,2024-07-11 17:30:00
