action,operation,operation_price,operation_stop_price,operation_end_type,unix,date,price,base,quote,debt_base,total_quote,gain,run_unix,run_date
LONG,BUY,224.72000122,202.2480011,0,1720193400,2024-07-05 15:30:00,224.72000122,44.49982176,0.0,0.0,10000.0000002,0.0,1720193400,2024-07-05 15:30:00
CLOSE,SELL,225.13499451,-1.0,0,1720202400,2024-07-05 18:00:00,225.13499451,0.0,10018.46712763,0.0,10018.46712763,0.00185,1720202400,2024-07-05 18:00:00
SHORT,SELL,225.13499451,247.64849396,0,1720202400,2024-07-05 18:00:00,225.13499451,0.0,20036.93425526,44.49982176,10018.46712763,0.00185,1720202400,2024-07-05 18:00:00
COVER,BUY,226.30999756,-1.0,0,1720209600,2024-07-05 20:00:00,226.30999756,0.0,9966.179701329998,0.0,9966.17970133,-0.00338,1720209600,2024-07-05 20:00:00
LONG,BUY,226.30999756,203.6789978,0,1720209600,2024-07-05 20:00:00,226.30999756,44.037735,0.0,0.0,9966.1797004,-0.00338,1720209600,2024-07-05 20:00:00
CLOSE,SELL,231.1000061,-1.0,0,1720621800,2024-07-10 14:30:00,231.1000061,0.0,10177.12082713,0.0,10177.12082713,0.01771,1720621800,2024-07-10 14:30:00
SHORT,SELL,231.1000061,254.21000671,0,1720621800,2024-07-10 14:30:00,231.1000061,0.0,20354.24165426,44.037735,10177.12082713,0.01771,1720621800,2024-07-10 14:30:00
COVER,BUY,230.99499512,-1.0,0,1720625400,2024-07-10 15:30:00,230.99499512,0.0,10181.74527284,0.0,10181.74527284,0.01817,1720625400,2024-07-10 15:30:00
LONG,BUY,230.99499512,207.89549561,0,1720625400,2024-07-10 15:30:00,230.99499512,44.07777436,0.0,0.0,10181.74527319,0.01817,1720625400,2024-07-10 15:30:00
CLOSE,SELL,231.27999878,-1.0,0,1720627200,2024-07-10 16:00:00,231.27999878,0.0,10194.30760021,0.0,10194.30760021,0.01943,1720627200,2024-07-10 16:00:00
SHORT,SELL,231.27999878,254.40799866,0,1720627200,2024-07-10 16:00:00,231.27999878,0.0,20388.61520042,44.07777436,10194.30760021,0.01943,1720627200,2024-07-10 16:00:00
COVER,BUY,232.19500732,-1.0,0,1720629000,2024-07-10 16:30:00,232.19500732,0.0,10153.976060250001,0.0,10153.97606025,0.0154,1720629000,2024-07-10 16:30:00
LONG,BUY,232.19500732,208.97550659,0,1720629000,2024-07-10 16:30:00,232.19500732,43.73038067,0.0,0.0,10153.97605978,0.0154,1720629000,2024-07-10 16:30:00
CLOSE,SELL,231.32400513,-1.0,0,1720630800,2024-07-10 17:00:00,231.32400513,0.0,10115.88680244,0.0,10115.88680244,0.01159,1720630800,2024-07-10 17:00:00
SHORT,SELL,231.32400513,254.45640564,0,1720630800,2024-07-10 17:00:00,231.32400513,0.0,20231.77360488,43.73038067,10115.88680244,0.01159,1720630800,2024-07-10 17:00:00
COVER,BUY,231.75999451,-1.0,0,1720639800,2024-07-10 19:30:00,231.75999451,0.0,10096.82082088,0.0,10096.82082088,0.00968,1720639800,2024-07-10 19:30:00
LONG,BUY,232.91000366,209.61900329,0,1720641600,2024-07-10 20:00:00,232.91000366,43.35073918,0.0,0.0,10096.82082108,0.00968,1720641600,2024-07-10 20:00:00
CLOSE,SELL,228.8999939,-1.0,0,1720708200,2024-07-11 14:30:00,228.8999939,0.0,9922.98393386,0.0,9922.98393386,-0.0077,1720708200,2024-07-11 14:30:00
SHORT,SELL,228.8999939,251.78999329,0,1720708200,2024-07-11 14:30:00,228.8999939,0.0,19845.96786772,43.35073918,9922.98393386,-0.0077,1720708200,2024-07-11 14:30:00
COVER,BUY,226.66000366,-1.0,0,1720710000,2024-07-11 15:00:00,226.66000366,0.0,10020.08916652,0.0,10020.08916652,0.00201,1720710000,2024-07-11 15:00:00
LONG,BUY,226.66000366,203.99400329,0,1720710000,2024-07-11 15:00:00,226.66000366,44.20757524,0.0,0.0,10020.0891657,0.00201,1720710000,2024-07-11 15:00:00
CLOSE,SELL,226.61999512,-1.0,0,1720711800,2024-07-11 15:30:00,226.61999512,0.0,10018.32048516,0.0,10018.32048516,0.00183,1720711800,2024-07-11 15:30:00
SHORT,SELL,226.61999512,249.28199463,0,1720711800,2024-07-11 15:30:00,226.61999512,0.0,20036.64097032,44.20757524,10018.32048516,0.00183,1720711800,2024-07-11 15:30:00
COVER,BUY,227.72000122,-1.0,0,1720717200,2024-07-11 17:00:00,227.72000122,0.0,9969.691882730001,0.0,9969.69188273,-0.00303,1720717200,2024-07-11 17:00:00
SHORT,SELL,227.97999573,250.7779953,0,1720719000,2024-07-11 17:30:00,227.97999573,0.0,19939.383765460003,43.73055562,9969.69188194,-0.00303,1720719000,2024-07-11 17:30:00
COVER,BUY,226.82000732,-1.0,0,1720720800,2024-07-11 18:00:00,226.82000732,0.0,10020.418819620003,0.0,10020.41881962,0.00204,1720720800,2024-07-11 18:00:00
LONG,BUY,226.82000732,204.13800659,0,1720720800,2024-07-11 18:00:00,226.82000732,44.17784365,0.0,0.0,10020.41882007,0.00204,1720720800,2024-07-11 18:00:00
CLOSE,SELL,231.3500061,-1.0,0,1720792800,2024-07-12 14:00:00,231.3500061,0.0,10220.54439791,0.0,10220.54439791,0.02205,1720792800,2024-07-12 14:00:00
LONG,BUY,230.88000488,207.79200439,0,1720794600,2024-07-12 14:30:00,230.88000488,44.26777626,0.0,0.0,10220.54439894,0.02205,1720794600,2024-07-12 14:30:00
CLOSE,SELL,231.8500061,-1.0,0,1720796400,2024-07-12 15:00:00,231.8500061,0.0,10263.48419591,0.0,10263.48419591,0.02635,1720796400,2024-07-12 15:00:00
SHORT,SELL,231.8500061,255.03500671,0,1720796400,2024-07-12 15:00:00,231.8500061,0.0,20526.96839182,44.26777626,10263.48419591,0.02635,1720796400,2024-07-12 15:00:00
COVER,BUY,234.7901001,-1.0,0,1721053800,2024-07-15 14:30:00,234.7901001,0.0,10133.332772529999,0.0,10133.33277253,0.01333,1721053800,2024-07-15 14:30:00
LONG,BUY,234.7901001,211.31109009,0,1721053800,2024-07-15 14:30:00,234.7901001,43.15911432,0.0,0.0,10133.33277142,0.01333,1721053800,2024-07-15 14:30:00
CLOSE,SELL,235.6000061,-1.0,0,1721057400,2024-07-15 15:30:00,235.6000061,0.0,10168.28759706,0.0,10168.28759706,0.01683,1721057400,2024-07-15 15:30:00
SHORT,SELL,235.6000061,259.16000671,0,1721057400,2024-07-15 15:30:00,235.6000061,0.0,20336.57519412,43.15911432,10168.28759706,0.01683,1721057400,2024-07-15 15:30:00
COVER,BUY,233.91000366,-1.0,0,1721145600,2024-07-16 16:00:00,233.91000366,0.0,10241.22660557,0.0,10241.22660557,0.02412,1721145600,2024-07-16 16:00:00
LONG,BUY,233.91000366,210.51900329,0,1721145600,2024-07-16 16:00:00,233.91000366,43.7827645,0.0,0.0,10241.22660444,0.02412,1721145600,2024-07-16 16:00:00
CLOSE,SELL,229.00999451,-1.0,0,1721224800,2024-07-17 14:00:00,229.00999451,0.0,10026.69065778,0.0,10026.69065778,0.00267,1721224800,2024-07-17 14:00:00
SHORT,SELL,227.77000427,250.5470047,0,1721228400,2024-07-17 15:00:00,227.77000427,0.0,20053.38131556,44.02111986,10026.69065708,0.00267,1721228400,2024-07-17 15:00:00
